translation_x,translation_y,translation_z,sağlık,frame_numbers
0.0444354466407545,0.003068535194373,-0.000234512968112,1,frame_000000
0.026594280020958,0.0048658456206975,-0.0051423541854858,1,frame_000001
0.0113519581316207,0.0056336686446388,-0.0098492028853534,1,frame_000002
-0.0012604154773733,0.0053515610504699,-0.0143603780104384,1,frame_000003
-0.0112117372561397,0.0039990796224638,-0.0186811985034643,1,frame_000004
-0.0184709036547944,0.0015557811448937,-0.0228169833071546,1,frame_000005
-0.0230068111234529,-0.0019987775979674,-0.0267730513642327,1,frame_000006
-0.024788356112231,-0.0066850398218466,-0.0305547216174222,1,frame_000007
-0.0237844350712444,-0.0125234487424707,-0.0341673130094465,1,frame_000008
-0.0199639444506089,-0.0195344475755668,-0.0376161444830292,1,frame_000009
-0.0132957807004403,-0.0277384795368617,-0.0409065349808937,1,frame_000010
-0.0037488402708542,-0.0371559878420825,-0.0440438034457635,1,frame_000011
0.0087079803880336,-0.047807415706956,-0.0470332688203621,1,frame_000012
0.0241057848261075,-0.0597132063472093,-0.049880250047413,1,frame_000013
0.0424756765932515,-0.0728938029785693,-0.0525900660696398,1,frame_000014
0.0638487592393502,-0.087369648816763,-0.0551680358297658,1,frame_000015
0.0882561363142876,-0.1031611870775173,-0.0576194782705146,1,frame_000016
0.1157289113679481,-0.1202888609765592,-0.0599497123346096,1,frame_000017
0.146298187950216,-0.1387731137296156,-0.0621640569647744,1,frame_000018
0.1799950696109753,-0.1586343885524135,-0.0642678311037325,1,frame_000019
0.2168506599001107,-0.1798931286606798,-0.0662663536942073,1,frame_000020
0.2568960623675061,-0.2025697772701416,-0.0681649436789224,1,frame_000021
0.300162380563046,-0.2266847775965257,-0.0699689200006012,1,frame_000022
0.3466807180366146,-0.2522585728555592,-0.0716836016019672,1,frame_000023
0.396482178338096,-0.2793116062629689,-0.0733143074257439,1,frame_000024
0.4495978650173658,-0.307864321034476,-0.0748663564146534,1,frame_000025
0.5050384368258358,-0.3384290467068548,-0.076320690885456,1,frame_000026
0.5644619273256264,-0.3706020443205812,-0.0777060154280378,1,frame_000027
0.6279476145439168,-0.4044252394646856,-0.079037656652216,1,frame_000028
0.695543065133143,-0.4399237876326509,-0.0803297712237593,1,frame_000029
0.7672641348779107,-0.477106073779067,-0.0815953451688206,1,frame_000030
0.8430949684168825,-0.5159637125633776,-0.0828481195553101,1,frame_000031
0.9222421530194512,-0.556471548991956,-0.084059374004135,1,frame_000032
1.004781795662492,-0.5985876570000197,-0.0852363562962661,1,frame_000033
1.0907519499471472,-0.6422533402330989,-0.086386767253634,1,frame_000034
1.180152615168682,-0.686407038098615,-0.0874793948494733,1,frame_000035
1.2729457383724854,-0.7311619498995744,-0.0885225438121887,1,frame_000036
1.3690552132202976,-0.7766061194966842,-0.0895246699103601,1,frame_000037
1.4692744528115251,-0.8249884455845484,-0.0905464763555289,1,frame_000038
1.5736193129616225,-0.8763634313838867,-0.0916028743852853,1,frame_000039
1.6820739383308143,-0.930777194986204,-0.0927093037876637,1,frame_000040
1.7929373435803335,-0.9870675545551448,-0.0938435451189313,1,frame_000041
1.9061175667250936,-1.0450416511235108,-0.0950045408528456,1,frame_000042
2.0214782501682804,-1.10448985544742,-0.0961915355170767,1,frame_000043
2.139746212087769,-1.165399589857007,-0.0974218347386108,1,frame_000044
2.260864372902124,-1.227955327380026,-0.0986915873247723,1,frame_000045
2.384737599634335,-1.2923247707709218,-0.0999973951491936,1,frame_000046
2.5121402789302283,-1.3584450314599958,-0.1013451922562261,1,frame_000047
2.643069239907596,-1.4260226286395776,-0.1027306368353833,1,frame_000048
2.7774896005187295,-1.494747311232207,-0.1041499156450876,1,frame_000049
2.914588920152199,-1.5645058805168104,-0.1055958953537766,1,frame_000050
3.054424279338995,-1.635382187535937,-0.1070581182214304,1,frame_000051
3.1970147052046904,-1.7074433130723288,-0.1085266550935663,1,frame_000052
3.3423411720787044,-1.7817256623863422,-0.1099762727236049,1,frame_000053
3.4903466001677805,-1.858057339314683,-0.1114056492763676,1,frame_000054
3.640935856278355,-1.93625806259367,-0.1128138404991196,1,frame_000055
3.79488332615366,-2.016139166295918,-0.1142249920034649,1,frame_000056
3.9521858388727127,-2.097503598810877,-0.1156295145374373,1,frame_000057
4.112808512338336,-2.1801459234315352,-0.1170184229418255,1,frame_000058
4.2766847516545266,-2.262866224527946,-0.1183458960122206,1,frame_000059
4.443716252745936,-2.3456477313750845,-0.1196077050441264,1,frame_000060
4.6137730003470825,-2.4284569030000314,-0.1207999234290936,1,frame_000061
4.7868549953647115,-2.5122295238036827,-0.121941714042932,1,frame_000062
4.963092253611324,-2.596693075620468,-0.1230165035630909,1,frame_000063
5.142583079714156,-2.6815666552041946,-0.1240082472770542,1,frame_000064
5.324486494520295,-2.7677608907198845,-0.1249319174915298,1,frame_000065
5.508669311435315,-2.855200315243132,-0.1257746783192596,1,frame_000066
